"path","depth_path_1","IfObstacle"
"./data/SFS-Motion/ProcessedData/scene-0132","d190.png","1"
"./data/SFS-Motion/ProcessedData/scene-0120","d253.png","0"
"./data/SFS-Motion/ProcessedData/scene-0081","d188.png","1"
"./data/SFS-Motion/ProcessedData/scene-0150","d088.png","0"
"./data/SFS-Motion/ProcessedData/scene-0082","d085.png","1"
"./data/SFS-Motion/ProcessedData/scene-0036","d081.png","1"
"./data/SFS-Motion/ProcessedData/scene-0006","d053.png","1"
"./data/SFS-Motion/ProcessedData/scene-0023","d113.png","1"
"./data/SFS-Motion/ProcessedData/scene-0135","d208.png","0"
"./data/SFS-Motion/ProcessedData/scene-0081","d119.png","1"
"./data/SFS-Motion/ProcessedData/scene-0145","d034.png","0"
"./data/SFS-Motion/ProcessedData/scene-0008","d085.png","0"
"./data/SFS-Motion/ProcessedData/scene-0000","d091.png","1"
"./data/SFS-Motion/ProcessedData/scene-0128","d045.png","0"
"./data/SFS-Motion/ProcessedData/scene-0126","d205.png","1"
"./data/SFS-Motion/ProcessedData/scene-0061","d129.png","1"
"./data/SFS-Motion/ProcessedData/scene-0076","d057.png","0"
"./data/SFS-Motion/ProcessedData/scene-0098","d055.png","0"
"./data/SFS-Motion/ProcessedData/scene-0149","d153.png","1"
"./data/SFS-Motion/ProcessedData/scene-0114","d096.png","1"
"./data/SFS-Motion/ProcessedData/scene-0150","d253.png","0"
"./data/SFS-Motion/ProcessedData/scene-0080","d073.png","1"
"./data/SFS-Motion/ProcessedData/scene-0062","d121.png","1"
"./data/SFS-Motion/ProcessedData/scene-0092","d185.png","1"
"./data/SFS-Motion/ProcessedData/scene-0062","d088.png","1"
"./data/SFS-Motion/ProcessedData/scene-0141","d225.png","1"
"./data/SFS-Motion/ProcessedData/scene-0000","d126.png","1"
"./data/SFS-Motion/ProcessedData/scene-0007","d079.png","1"
"./data/SFS-Motion/ProcessedData/scene-0076","d232.png","0"
"./data/SFS-Motion/ProcessedData/scene-0051","d218.png","0"
"./data/SFS-Motion/ProcessedData/scene-0111","d183.png","0"
"./data/SFS-Motion/ProcessedData/scene-0127","d039.png","0"
"./data/SFS-Motion/ProcessedData/scene-0040","d171.png","1"
"./data/SFS-Motion/ProcessedData/scene-0064","d175.png","0"
"./data/SFS-Motion/ProcessedData/scene-0108","d255.png","0"
"./data/SFS-Motion/ProcessedData/scene-0148","d119.png","1"
"./data/SFS-Motion/ProcessedData/scene-0001","d016.png","0"
"./data/SFS-Motion/ProcessedData/scene-0060","d130.png","1"
"./data/SFS-Motion/ProcessedData/scene-0000","d060.png","1"
"./data/SFS-Motion/ProcessedData/scene-0030","d038.png","0"
"./data/SFS-Motion/ProcessedData/scene-0099","d225.png","1"
"./data/SFS-Motion/ProcessedData/scene-0143","d191.png","1"
"./data/SFS-Motion/ProcessedData/scene-0076","d257.png","0"
"./data/SFS-Motion/ProcessedData/scene-0060","d179.png","1"
"./data/SFS-Motion/ProcessedData/scene-0058","d217.png","0"
"./data/SFS-Motion/ProcessedData/scene-0012","d175.png","0"
"./data/SFS-Motion/ProcessedData/scene-0145","d130.png","1"
"./data/SFS-Motion/ProcessedData/scene-0037","d273.png","0"
"./data/SFS-Motion/ProcessedData/scene-0034","d037.png","0"
"./data/SFS-Motion/ProcessedData/scene-0059","d191.png","1"
"./data/SFS-Motion/ProcessedData/scene-0055","d021.png","0"
"./data/SFS-Motion/ProcessedData/scene-0009","d049.png","0"
"./data/SFS-Motion/ProcessedData/scene-0045","d061.png","0"
"./data/SFS-Motion/ProcessedData/scene-0117","d229.png","0"
"./data/SFS-Motion/ProcessedData/scene-0021","d064.png","0"
"./data/SFS-Motion/ProcessedData/scene-0028","d259.png","0"
"./data/SFS-Motion/ProcessedData/scene-0025","d214.png","0"
"./data/SFS-Motion/ProcessedData/scene-0099","d100.png","0"
"./data/SFS-Motion/ProcessedData/scene-0001","d105.png","1"
"./data/SFS-Motion/ProcessedData/scene-0012","d083.png","0"
"./data/SFS-Motion/ProcessedData/scene-0076","d030.png","0"
"./data/SFS-Motion/ProcessedData/scene-0132","d220.png","1"
"./data/SFS-Motion/ProcessedData/scene-0126","d226.png","1"
"./data/SFS-Motion/ProcessedData/scene-0148","d232.png","1"
"./data/SFS-Motion/ProcessedData/scene-0130","d050.png","0"
"./data/SFS-Motion/ProcessedData/scene-0110","d199.png","1"
"./data/SFS-Motion/ProcessedData/scene-0017","d097.png","1"
"./data/SFS-Motion/ProcessedData/scene-0020","d070.png","0"
"./data/SFS-Motion/ProcessedData/scene-0080","d066.png","1"
"./data/SFS-Motion/ProcessedData/scene-0086","d093.png","0"
"./data/SFS-Motion/ProcessedData/scene-0030","d153.png","1"
"./data/SFS-Motion/ProcessedData/scene-0000","d070.png","1"
"./data/SFS-Motion/ProcessedData/scene-0023","d085.png","1"
"./data/SFS-Motion/ProcessedData/scene-0091","d036.png","0"
"./data/SFS-Motion/ProcessedData/scene-0148","d179.png","1"
"./data/SFS-Motion/ProcessedData/scene-0033","d121.png","1"
"./data/SFS-Motion/ProcessedData/scene-0072","d136.png","1"
"./data/SFS-Motion/ProcessedData/scene-0002","d086.png","1"
"./data/SFS-Motion/ProcessedData/scene-0151","d128.png","1"
"./data/SFS-Motion/ProcessedData/scene-0133","d074.png","0"
"./data/SFS-Motion/ProcessedData/scene-0073","d132.png","1"
"./data/SFS-Motion/ProcessedData/scene-0091","d161.png","1"
"./data/SFS-Motion/ProcessedData/scene-0097","d245.png","0"
"./data/SFS-Motion/ProcessedData/scene-0110","d155.png","1"
"./data/SFS-Motion/ProcessedData/scene-0132","d169.png","1"
"./data/SFS-Motion/ProcessedData/scene-0122","d076.png","1"
"./data/SFS-Motion/ProcessedData/scene-0055","d218.png","0"
"./data/SFS-Motion/ProcessedData/scene-0135","d090.png","1"
"./data/SFS-Motion/ProcessedData/scene-0129","d058.png","0"
"./data/SFS-Motion/ProcessedData/scene-0066","d038.png","0"
"./data/SFS-Motion/ProcessedData/scene-0095","d028.png","0"
"./data/SFS-Motion/ProcessedData/scene-0059","d151.png","1"
"./data/SFS-Motion/ProcessedData/scene-0154","d045.png","0"
